Presynaptic_ID,Postsynaptic_ID,Presynaptic_Index,Postsynaptic_Index,Connectivity,Excitatory,Excitatory x Connectivity,Presynaptic_Type,Presynaptic_Side,Postsynaptic_Side
720575940624244922,720575940632499757,65254,108748,6,1,6,LPLC2,right,right
720575940618275520,720575940632499757,34445,108748,6,1,6,LC4,right,right
720575940636957006,720575940632499757,121451,108748,6,1,6,LC4,right,right
720575940616713355,720575940622838154,28213,57246,6,1,6,LC4,left,left
720575940630154660,720575940632499757,97190,108748,6,1,6,LC4,right,right
720575940634517856,720575940622838154,115387,57246,6,1,6,LC4,left,left
720575940613638041,720575940632499757,18045,108748,5,1,5,LC4,right,right
720575940612560680,720575940622838154,14493,57246,5,1,5,LPLC2,left,left
720575940661316993,720575940632499757,138623,108748,5,1,5,LPLC2,right,right
720575940622531767,720575940622838154,55583,57246,5,1,5,LC4,left,left
720575940635516084,720575940622838154,118032,57246,5,1,5,LPLC2,left,left
720575940636539102,720575940632499757,120524,108748,5,1,5,LPLC2,right,right
720575940628419527,720575940632499757,88184,108748,5,1,5,LC4,right,right
720575940628197892,720575940632499757,86797,108748,5,1,5,LPLC2,right,right
720575940632711052,720575940632499757,109663,108748,5,1,5,LPLC2,right,right
720575940632769180,720575940622838154,109955,57246,5,1,5,LC4,left,left
720575940612580977,720575940622838154,14563,57246,5,1,5,LC4,left,left
720575940637088602,720575940632499757,121733,108748,5,1,5,LPLC2,right,right
720575940613763759,720575940622838154,18413,57246,5,1,5,LPLC2,left,left
720575940628081541,720575940622838154,86146,57246,5,1,5,LC4,left,left
720575940618267227,720575940632499757,34409,108748,5,1,5,LC4,right,right
720575940617294219,720575940622838154,30313,57246,5,1,5,LPLC2,left,left
720575940639895003,720575940622838154,128134,57246,5,1,5,LPLC2,left,left
720575940640612480,720575940622838154,129665,57246,5,1,5,LC4,left,left
720575940641552347,720575940622838154,130854,57246,5,1,5,LPLC2,left,left
720575940624359093,720575940622838154,65959,57246,5,1,5,LPLC2,left,left
720575940653742753,720575940632499757,137567,108748,5,1,5,LPLC2,right,right
720575940628064260,720575940622838154,86033,57246,5,1,5,LC4,left,left
720575940627902078,720575940622838154,85065,57246,5,1,5,LPLC2,left,left
720575940618807105,720575940622838154,36646,57246,5,1,5,LC4,left,left
720575940614067167,720575940632499757,19222,108748,5,1,5,LPLC2,right,right
720575940628976956,720575940622838154,91245,57246,5,1,5,LPLC2,left,left
720575940634700980,720575940622838154,115843,57246,5,1,5,LPLC2,left,left
720575940635234478,720575940622838154,117332,57246,5,1,5,LPLC2,left,left
720575940611567638,720575940622838154,11653,57246,4,1,4,LPLC2,left,left
720575940620795728,720575940622838154,45558,57246,4,1,4,LC4,left,left
720575940653666465,720575940622838154,137555,57246,4,1,4,LPLC2,left,left
720575940607854531,720575940622838154,5157,57246,4,1,4,LPLC2,left,left
720575940636529520,720575940622838154,120493,57246,4,1,4,LPLC2,left,left
720575940613821290,720575940632499757,18594,108748,4,1,4,LPLC2,right,right
720575940619197318,720575940622838154,38211,57246,4,1,4,LPLC2,left,left
720575940617997241,720575940622838154,33127,57246,4,1,4,LPLC2,left,left
720575940649229433,720575940622838154,136520,57246,4,1,4,LC4,left,left
720575940612994929,720575940632499757,16013,108748,4,1,4,LPLC2,right,right
720575940613145258,720575940622838154,16485,57246,4,1,4,LPLC2,left,left
720575940624417584,720575940622838154,66296,57246,4,1,4,LPLC2,left,left
720575940624611002,720575940632499757,67237,108748,4,1,4,LPLC2,right,right
720575940625001735,720575940632499757,69313,108748,4,1,4,LPLC2,right,right
720575940615953302,720575940622838154,25538,57246,4,1,4,LPLC2,left,left
720575940616377817,720575940622838154,27074,57246,4,1,4,LPLC2,left,left
720575940628778058,720575940632499757,90122,108748,4,1,4,LPLC2,right,right
720575940630484495,720575940622838154,98862,57246,4,1,4,LC4,left,left
720575940630719831,720575940632499757,100157,108748,4,1,4,LPLC2,right,right
